STOCK_CODES,PRODUCT,DATE,Wk,Week_Number,SOH,FLOORS,WEEKLY SALES,AVG_WK_SALES ,Range,Loft_Category,Group 1,Group 2
MA0234037           ,MARWAN BUFFET   ,7-Jul,6,28,0,19,2,1.33,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,7-Jul,6,28,8,15,1,0.75,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,7-Jul,6,28,0,11,2,1.25,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,7-Jul,6,28,0,0,1,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,7-Jul,6,28,0,2,2,7.33,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,29-Jun,5,27,25,16,2,4.25,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,29-Jun,5,27,3,11,4,1.75,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,29-Jun,5,27,0,7,1,0.67,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,29-Jun,5,27,6,6,3,1.67,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,29-Jun,5,27,22,4,1,0.83,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,29-Jun,5,27,7,8,1,0.58,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,29-Jun,5,27,0,19,12,9.67,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,29-Jun,5,27,43,7,2,1.08,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,29-Jun,5,27,34,8,3,1.42,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,29-Jun,5,27,172,23,19,20.9,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,29-Jun,5,27,145,24,31,1.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,29-Jun,5,27,81,8,3,2.5,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,29-Jun,5,27,4,9,2,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,29-Jun,5,27,9,8,1,1.08,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,29-Jun,5,27,0,13,2,2,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,29-Jun,5,27,0,13,6,3.67,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,29-Jun,5,27,0,0,5,1.58,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,29-Jun,5,27,0,0,3,0.58,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,29-Jun,5,27,2,14,4,2,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,29-Jun,5,27,0,0,2,0.58,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,29-Jun,5,27,0,0,1,0.17,Marwan,Bench Seat,DINE,CHR 
